start_times,daily_obs_effs,daily_total_times,daily_survey_times
2024-09-06 01:04:00.000,32.75604710921179,19408.089549038978,13737.921382871902
2024-09-07 00:36:00.000,32.43678396110677,19495.606309663166,13873.138611385493
2024-09-08 00:10:00.000,32.824176491320486,19463.189589120248,13709.407153565327
2024-09-09 01:24:00.000,32.498229404145945,19490.678551262936,13846.90822394747
2024-09-10 00:58:00.000,32.88239681257947,19398.407467341716,13685.133798636243
2024-09-11 00:30:00.000,32.54940948722012,19486.214645761775,13825.135604278279
2024-09-12 00:04:00.000,32.5731843349914,19424.098197927808,13815.044773396385
2024-09-13 01:18:00.000,32.59735750707409,19421.92515640281,13804.799971971457
2024-09-14 00:52:00.000,32.61893449834777,19419.98733755342,13795.66828042141
2024-09-15 00:24:00.000,32.63937930476584,19478.14503245439,13787.026885474299
2024-09-16 01:38:00.000,33.01651692634152,19206.032277203016,13629.541874569368
2024-09-17 01:12:00.000,32.68021778070594,19414.064991085645,13769.79807844718
2024-09-18 00:44:00.000,33.05511301655511,19202.226108367726,13613.627633783157
2024-09-19 00:18:00.000,32.01462395004436,19410.51440698209,14056.076395030603
2024-09-20 01:32:00.000,33.092410006417644,19198.829420035105,13598.284316939475
2024-09-21 01:06:00.000,32.048367413221705,19347.396832878276,14041.276867487184
2024-09-22 00:38:00.000,33.12538585440254,19196.104613326414,13584.747419332856
2024-09-23 00:12:00.000,32.7744600431532,19164.95088138607,13730.203317079757
2024-09-24 01:26:00.000,32.78816382601836,19163.872440778476,13724.46479125226
2024-09-25 00:58:00.000,33.16588773362045,19193.013375397644,13568.157849844989
2024-09-26 00:32:00.000,32.8097672197051,19162.29487174282,13715.428000041895
2024-09-27 00:04:00.000,32.45957982759958,19191.71811865762,13863.39571830736
2024-09-28 01:18:00.000,32.467217438806486,19191.254383807653,13860.134483287653
2024-09-29 00:52:00.000,32.47301803158257,19070.963718825446,13857.658674113369
2024-09-30 00:24:00.000,32.477523109901604,19130.80813566616,13855.7364266121
2024-10-01 01:38:00.000,32.83648287991151,18980.78738281696,13704.269170535867
2024-10-02 01:12:00.000,32.83845758759881,18920.900801783642,13703.445078064175
2024-10-03 00:46:00.000,32.839191480525656,18861.1385148255,13703.138832357054
2024-10-04 00:18:00.000,32.48314621121479,19131.495751079496,13853.337884020537
